Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2019-11-27,2057,30.3
2019-11-27,2091,35.3
2019-11-27,2085,40.6
2019-11-27,2084,43.1
2019-11-27,2215,1.9
2019-11-27,2189,13.5
2019-11-27,2187,5.0
2019-11-27,2191,0.0
2019-11-27,2218,0.0
2019-11-27,2149,0.0
2019-11-27,2197,12.0
2019-11-27,2173,37.5
2019-11-27,2068,38.0
2019-11-27,2092,22.4
2019-11-27,2094,27.3
2019-11-27,2093,21.5
2019-11-27,2005,52
2019-11-27,2002,11.1
2019-11-27,2032,55.2
2019-11-27,2086,33.8
2019-11-27,2117,32.1
2019-11-27,2121,22.7
2019-11-27,2180,17.0
2019-11-27,2119,27.4
2019-11-27,2118,31.1
2019-11-27,2001,27.2
2019-11-27,2145,14.1
2019-11-27,2141,9.4
2019-11-27,2020,23.8
2019-11-27,2072,29.8
2019-11-27,2075,41.7
2019-11-27,2106,13.2
2019-11-27,2105,4.9
2019-11-27,2178,33.7
2019-11-27,2200,13.1
2019-11-27,2202,25.2
2019-11-27,2138,13.8
2019-11-27,2135,22.4
2019-11-27,2136,27.9
2019-11-27,2150,6.4
2019-11-27,2125,13.5
2019-11-27,2130,20.1
2019-11-27,2128,19.2
2019-11-27,2126,6.9
2019-11-27,2181,27.5
2019-11-27,2165,18.6
2019-11-27,2160,7.8
2019-11-27,2164,31
2019-11-27,2166,18.0
2019-11-27,2127,14.2
2019-11-27,2155,12.3
2019-11-27,2140,19.4
2019-11-27,2129,22.4
2019-11-27,2133,23.5
2019-11-27,2134,7.9
2019-11-27,2056,44.4
2019-11-27,2137,20.0
2019-11-27,2157,16.6
2019-11-27,2132,6.6
2019-11-27,2159,4.5
2019-11-27,2154,10.3
2019-11-27,2158,6.2
2019-11-27,2163,18.3
2019-11-27,2139,19.9
2019-11-27,2018,8.1
2019-11-27,2179,33.6
2019-11-27,2115,10.5
2019-11-27,2026,19.0
