Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct) Mean of Hourly Values,Wind Speed Maximum (mph) Max of Hourly Values,Wind Speed Average (mph) Mean of Hourly Values,Solar Radiation Average (watt/m2) Mean of Hourly Values,Solar Radiation/langley Total (langley),Vapor Pressure - Partial (inch_Hg) Mean of Hourly Values,Vapor Pressure - Saturated (inch_Hg) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values
2018-08-14,2057,91,63,0.0,73,10.0,1.6,280.67,507.3,0.64,0.97,87,87,85,83,79
2018-08-14,2091,89,74,0.0,76,11.2,2.8,213.06,440.0,0.8,1.09,82,81,82,81,78
2018-08-14,2085,89,73,0.0,82,8.3,1.9,148.62,268.66,0.84,1.06,84,83,82,80,69
2018-08-14,2084,91,73,0.0,81,9.7,2.1,195.0,402.6,0.84,1.08,84,84,84,64,79
2018-08-14,2215,78,49,0.43,54,14.0,2.5,134.86,275.4,0.27,0.53,59,61,61,59,58
2018-08-14,2189,103,74,0.0,28,14.7,4.7,314.13,641.6,0.36,1.31,96,95,92,89,87
2018-08-14,2187,92,60,0.0,38,19.0,4.1,251.87,455.3,0.31,0.93,80,79,80,80,76
2018-08-14,2191,81,48,0.0,41,17.9,2.2,214.49,387.7,0.23,0.64,72,72,73,73,73
2018-08-14,2218,89,66,0.0,28,10.6,2.3,243.46,497.1,0.23,0.94,83,80,78,76,71
2018-08-14,2149,92,67,0.0,27,20.3,4.8,200.08,413.2,0.24,0.97,79,79,80,79,77
2018-08-14,2197,84,50,0.02,76,24.5,6.0,199.22,406.8,0.43,0.63,75,76,75,73,69
2018-08-14,2173,97,66,0.0,32,9.4,1.6,222.25,459.0,0.33,1.06,84,82,82,82,78
2018-08-14,2068,85,65,0.0,79,9.1,1.5,149.43,270.1,0.67,0.87,73,73,73,70,65
2018-08-14,2092,84,69,0.08,88,16.3,3.9,156.64,283.18,0.77,0.89,75,69,76,74,73
